ACC_RANDOM,SATXN_ENTRY_DATE,SATXN_BR_CODE,SATXN_BUSI_DATE,SATXN_TXN_TIME,SATXN_MEMO_CODE,SATXN_TXN_MEMO,SATXN_DB_CR_STAT,SATXN_TXN_AMT,SATXN_SAM_BAL,SATXN_TXN_STAT,SATXN_PB_STATUS,ID_RANDOM,SATXN_BUSI_CODE,SATXN_CASH_AMT,SATXN_BANK_NO
"1,584,352",2023/5/22 0:00,37,2023/5/20 0:00,234810,1417,____  ,2,"264,806.00","6,991,649.00",0,0,"1,304,957",AT01,0,807
"1,584,352",2023/5/22 0:00,37,2023/5/20 0:00,113020,1417,____  ,2,"115,800.00","6,829,319.00",0,0,"1,304,957",AT01,0,803
"1,584,352",2023/5/22 0:00,37,2023/5/20 0:00,153556,1222,____  ,1,"3,948.00","6,825,371.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/22 0:00,37,2023/5/20 0:00,153557,1222,____  ,1,"25,365.00","6,800,006.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/22 0:00,37,2023/5/20 0:00,153557,1222,____  ,1,"73,163.00","6,726,843.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/22 0:00,37,2023/5/21 0:00,155126,239,____  ,1,"1,005,000.00","5,886,724.00",0,0,"1,304,957",NB01,0,9
"1,584,352",2023/5/22 0:00,37,2023/5/21 0:00,153001,1222,____  ,1,"72,075.00","6,891,724.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/22 0:00,37,2023/5/21 0:00,153001,1222,____  ,1,"3,033.00","6,988,616.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/22 0:00,37,2023/5/21 0:00,153001,1222,____  ,1,"24,817.00","6,963,799.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/22 0:00,37,2023/5/22 0:00,142036,239,____  ,1,"1,430,000.00","4,356,724.00",0,0,"1,304,957",NB01,0,8
"1,584,352",2023/5/22 0:00,37,2023/5/22 0:00,142009,239,____  ,1,"100,000.00","5,786,724.00",0,0,"1,304,957",NB01,0,12
"1,584,352",2023/5/22 0:00,37,2023/5/22 0:00,195642,239,____  ,1,"28,700.00","3,187,859.00",0,0,"1,304,957",NB01,0,577
"1,584,352",2023/5/22 0:00,37,2023/5/22 0:00,195515,239,____  ,1,"35,000.00","4,327,059.00",0,0,"1,304,957",NB01,0,874
"1,584,352",2023/5/22 0:00,37,2023/5/22 0:00,195622,239,____  ,1,"326,100.00","3,216,559.00",0,0,"1,304,957",NB01,0,577
"618,967",2023/5/22 0:00,462,2023/5/22 0:00,145210,1005,__      ,2,100,111,0,0,"24,710",AG01,0,   
"1,584,352",2023/5/22 0:00,37,2023/5/22 0:00,145755,1,____  ,2,"304,360.00","4,661,084.00",0,0,"1,304,957",SA01,"304,360.00",   
"1,584,352",2023/5/22 0:00,37,2023/5/22 0:00,160524,1222,____  ,1,"58,408.00","4,551,982.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/22 0:00,37,2023/5/22 0:00,160524,1222,____  ,1,"37,311.00","4,610,390.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/22 0:00,37,2023/5/22 0:00,195559,239,____  ,1,"684,900.00","3,542,659.00",0,0,"1,304,957",NB01,0,613
"1,584,352",2023/5/22 0:00,37,2023/5/22 0:00,160524,1222,____  ,1,"13,383.00","4,647,701.00",0,0,"1,304,957",AG01,0,   
"1,584,352",2023/5/22 0:00,37,2023/5/22 0:00,195445,239,____  ,1,"189,923.00","4,362,059.00",0,0,"1,304,957",NB01,0,13
"1,584,352",2023/5/22 0:00,37,2023/5/22 0:00,195531,239,____  ,1,"99,500.00","4,227,559.00",0,0,"1,304,957",NB01,0,874
"1,584,352",2023/5/19 0:00,37,2023/5/18 0:00,235313,1417,____  ,2,"248,834.00","5,611,281.00",0,0,"1,304,957",AT01,0,8
"1,584,352",2023/5/19 0:00,37,2023/5/19 0:00,105500,9999,____  ,1,38,"5,611,243.00",0,0,"1,304,957",G2GL,0,103
"1,584,352",2023/5/19 0:00,37,2023/5/19 0:00,120059,1005,__      ,2,"230,000.00","5,841,243.00",0,0,"1,304,957",SA01,0,   
"1,584,352",2023/5/19 0:00,37,2023/5/19 0:00,132608,1417,____  ,2,"510,000.00","6,809,143.00",0,0,"1,304,957",AT01,0,822
"1,584,352",2023/5/19 0:00,37,2023/5/19 0:00,120157,1,____  ,2,"457,900.00","6,299,143.00",0,0,"1,304,957",SA01,"457,900.00",   
