ID_RANDOM,CFMST_OPEN_TYPE,CFMST_SEX,AGE,CFMST_BINS_CODE,CFMST_CUST_VIP,CFMST_TOUT_CODE,CFMST_DMCL_ZIP_CODE,CFMST_COMM_ZIP_CODE,CFMST_NOTICE_TEL_FLAG,CFMST_SEND_DM_CODE,CFMST_CRT_DATE,CFMST_CHG_DATE,CFMST_SEND_AT_CODE,CFMST_SEND_AT_CSH,CFMST_BINS_CODE_JCIC
2628,1,F,65,060000,DD,07,640  ,640  ,3,0,2014-07-18 00:00:00.0000000,2021-04-28 00:00:00.0000000,0,0,061700
2628,1,F,65,060000,DD,07,640  ,640  ,3,0,2014-07-18 00:00:00.0000000,2021-04-28 00:00:00.0000000,0,0,061700
2628,1,F,65,060000,DD,07,640  ,640  ,3,0,2014-07-18 00:00:00.0000000,2021-04-28 00:00:00.0000000,0,0,061700
3823,1,M,29,060000,DD,05,360  ,360  ,3,0,2020-07-16 00:00:00.0000000,2020-07-20 00:00:00.0000000,1,0,061500
3823,1,M,29,060000,DD,05,360  ,360  ,3,0,2020-07-16 00:00:00.0000000,2020-07-20 00:00:00.0000000,1,0,061500
339,1,F,73,0615I0,DD,05,970  ,973  ,3,1,2011-01-26 00:00:00.0000000,2018-04-02 00:00:00.0000000,0,0,0615I0
5003,1,F,70,060000,DD,07,202  ,202  ,3,0,2022-11-03 00:00:00.0000000,2022-11-05 00:00:00.0000000,0,0,061700
5003,1,F,70,060000,DD,07,202  ,202  ,3,0,2022-11-03 00:00:00.0000000,2022-11-05 00:00:00.0000000,0,0,061700
2221,1,F,55,0615D0,DD,05,205  ,205  ,3,0,2008-09-18 00:00:00.0000000,2018-02-12 00:00:00.0000000,0,0,0615D0
6056,1,M,29,060000,DD,05,811  ,811  ,3,0,2017-03-21 00:00:00.0000000,2018-02-12 00:00:00.0000000,1,0,0615H0
981,1,F,54,060000,DD,07,234  ,234  ,3,0,2006-03-23 00:00:00.0000000,2017-07-13 00:00:00.0000000,0,1,061500
981,1,F,54,060000,DD,07,234  ,234  ,3,0,2006-03-23 00:00:00.0000000,2017-07-13 00:00:00.0000000,0,1,061500
6533,1,F,41,060000,DD,05,320  ,320  ,3, ,2020-12-31 00:00:00.0000000,2021-01-26 00:00:00.0000000,1,0,0615F0
6533,1,F,41,060000,DD,05,320  ,320  ,3, ,2020-12-31 00:00:00.0000000,2021-01-26 00:00:00.0000000,1,0,0615F0
5558,1,F,64,060000,CC,07,814  ,814  ,0,1,2012-05-28 00:00:00.0000000,2022-10-05 00:00:00.0000000,0,0,0615G0
5558,1,F,64,060000,CC,07,814  ,814  ,0,1,2012-05-28 00:00:00.0000000,2022-10-05 00:00:00.0000000,0,0,0615G0
2121982,1,M,36,060000,BB,05,832  ,832  ,3,0,2011-08-01 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,0,0615I0
2121982,1,M,36,060000,BB,05,832  ,832  ,3,0,2011-08-01 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,0,0615I0
2121982,1,M,36,060000,BB,05,832  ,832  ,3,0,2011-08-01 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,0,0615I0
2121982,1,M,36,060000,BB,05,832  ,832  ,3,0,2011-08-01 00:00:00.0000000,2023-05-04 00:00:00.0000000,1,0,0615I0
