ID_RANDOM,CFMST_OPEN_TYPE,CFMST_SEX,AGE,CFMST_BINS_CODE,CFMST_CUST_VIP,CFMST_TOUT_CODE,CFMST_DMCL_ZIP_CODE,CFMST_COMM_ZIP_CODE,CFMST_NOTICE_TEL_FLAG,CFMST_SEND_DM_CODE,CFMST_CRT_DATE,CFMST_CHG_DATE,CFMST_SEND_AT_CODE,CFMST_SEND_AT_CSH,CFMST_BINS_CODE_JCIC
1160326,1,F,40,060000,DD,05,330  ,330  ,3,0,2014-12-29 00:00:00.0000000,2022-08-23 00:00:00.0000000,1,0,061500
19632,1,M,47,060000,CC,05,338  ,338  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
19632,1,M,47,060000,CC,05,338  ,338  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
19632,1,M,47,060000,CC,05,338  ,338  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
19632,1,M,47,060000,CC,05,338  ,338  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
19632,1,M,47,060000,CC,05,338  ,338  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
19632,1,M,47,060000,CC,05,338  ,338  ,3,0,2004-05-08 00:00:00.0000000,2023-04-08 00:00:00.0000000,0,1,0615J0
1384241,1,M,28,060000,DD,05,247  ,247  ,0,0,2011-07-13 00:00:00.0000000,2022-06-21 00:00:00.0000000,1,0,061610
1384241,1,M,28,060000,DD,05,247  ,247  ,0,0,2011-07-13 00:00:00.0000000,2022-06-21 00:00:00.0000000,1,0,061610
24710,1,M,32,060000,DD,05,235  ,220  ,3,0,2023-03-07 00:00:00.0000000,2023-03-13 00:00:00.0000000,1,0,0615F0
24710,1,M,32,060000,DD,05,235  ,220  ,3,0,2023-03-07 00:00:00.0000000,2023-03-13 00:00:00.0000000,1,0,0615F0
24710,1,M,32,060000,DD,05,235  ,220  ,3,0,2023-03-07 00:00:00.0000000,2023-03-13 00:00:00.0000000,1,0,0615F0
1228832,1,M,18,060000,DD,05,413  ,413  ,3,0,2021-11-03 00:00:00.0000000,2022-06-03 00:00:00.0000000,1,0,061410
1935892,0,F,58,060000,AA,  ,904  ,904  ,3,1,2005-12-30 00:00:00.0000000,2023-03-16 00:00:00.0000000,1,1,061700
1935892,0,F,58,060000,AA,  ,904  ,904  ,3,1,2005-12-30 00:00:00.0000000,2023-03-16 00:00:00.0000000,1,1,061700
1935892,0,F,58,060000,AA,  ,904  ,904  ,3,1,2005-12-30 00:00:00.0000000,2023-03-16 00:00:00.0000000,1,1,061700
1935892,0,F,58,060000,AA,  ,904  ,904  ,3,1,2005-12-30 00:00:00.0000000,2023-03-16 00:00:00.0000000,1,1,061700
